month,noCDI,rep_1stcomp_any_mo,rep_1stcompN_mo,obs3w,rep3w,obsp,repp,obst,rept,vocab_type,wordcount,obs3w_label,rep3w_label,obsp_label,repp_label,subj
6,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,3,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",794
7,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,5,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",794
8,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,18,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",794
9,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,23,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",794
10,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,49,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",794
11,FALSE,6,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,71,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",794
12,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,108,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",794
13,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,187,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",794
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,257,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",794
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,299,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",794
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,345,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",794
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,376,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",794
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,383,NA,NA,NA,NA,794
6,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",828
7,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",828
8,FALSE,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,7,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",828
9,FALSE,8,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,8,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",828
10,FALSE,8,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,8,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",828
11,FALSE,8,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,CDIcomp,10,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",828
12,FALSE,8,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,15,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",828
13,FALSE,8,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,19,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",828
14,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,42,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",828
15,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,69,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",828
16,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,116,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",828
17,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,173,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",828
18,FALSE,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,209,NA,NA,NA,NA,828
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,8,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",309
7,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,10,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",309
8,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,13,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",309
9,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,15,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",309
10,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,22,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",309
11,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,35,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",309
12,FALSE,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,38,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",309
13,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,57,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",309
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,74,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",309
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,123,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",309
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,169,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",309
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,250,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",309
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,273,NA,NA,NA,NA,309
6,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",749
7,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,9,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",749
8,FALSE,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CDIcomp,53,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",749
9,FALSE,7,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,88,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",749
10,FALSE,7,7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,147,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",749
