month,CDIcomp,CDIprod,CDInounprod,noCDI,CDInouncomp,CHI,CHItypes,obs_1stpoint_mo,obs_1stprodN_mo,obs_1stprod_any_mo,obs_walk3_mo,obs_walk10_mo,rep_1stpoint_mo,rep_1stprodN_mo,rep_1stprod_any_mo,rep_walk3_mo,rep_1stcomp_any_mo,rep_1stcompN_mo,obs3w,rep3w,obsp,repp,obst,rept,subj
6,3,0,0,FALSE,1,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794
7,5,0,0,FALSE,2,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794
8,18,0,0,FALSE,11,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794
9,23,0,0,FALSE,14,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794
10,49,0,0,FALSE,32,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794
11,71,6,3,FALSE,41,0,0,11,12,11,12,12,6,11,11,11,6,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,794
12,108,14,6,FALSE,66,25,3,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
13,187,77,54,FALSE,123,32,10,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
14,257,145,109,FALSE,172,29,11,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
15,299,226,157,FALSE,186,28,16,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
16,345,288,189,FALSE,202,84,20,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
17,376,372,222,FALSE,222,206,58,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
18,383,378,225,FALSE,225,NA,NA,11,12,11,12,12,6,11,11,11,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,794
6,0,0,0,FALSE,0,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,828
7,0,0,0,FALSE,0,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,828
8,7,0,0,FALSE,5,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,828
9,8,2,1,FALSE,5,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,828
10,8,2,1,FALSE,5,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,828
11,10,3,2,FALSE,6,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,828
12,15,6,2,FALSE,6,1,1,12,12,11,14,14,9,9,9,12,8,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,828
13,19,12,5,FALSE,7,0,0,12,12,11,14,14,9,9,9,12,8,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,828
14,42,17,10,FALSE,20,5,2,12,12,11,14,14,9,9,9,12,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,828
15,69,22,15,FALSE,40,10,5,12,12,11,14,14,9,9,9,12,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,828
