obs_1stpoint_mo,obs_1stprodN_mo,obs_1stprod_any_mo,obs_walk3_mo,obs_walk10_mo,rep_1stpoint_mo,rep_1stprodN_mo,rep_1stprod_any_mo,rep_walk3_mo,rep_1stcomp_any_mo,rep_1stcompN_mo,subj
11,12,11,12,12,6,11,11,11,6,6,794
12,11,11,15,15,10,11,8,13,6,8,294
10,11,11,12,12,9,16,15,11,6,6,126
12,NA,10,17,17,9,NA,8,16,6,6,255
16,12,10,12,12,13,12,12,11,7,7,465
12,13,13,16,16,9,8,7,15,6,6,357
8,10,10,14,14,7,7,7,14,6,6,521
11,15,15,15,15,7,14,12,14,6,6,274
12,12,11,14,14,9,9,9,12,8,8,828
12,12,12,13,13,7,11,11,13,6,6,309
10,11,10,17,17,9,7,7,16,7,7,749
11,12,12,14,14,11,11,11,14,6,6,623
12,12,11,12,12,11,17,12,12,6,6,279
12,9,9,14,14,16,16,13,13,10,12,626
12,12,12,14,14,12,13,13,13,6,6,664
12,13,13,12,12,7,12,12,11,6,6,129
16,13,13,12,12,9,10,10,12,6,6,860
12,10,10,12,12,13,12,12,12,8,8,378
10,10,10,13,14,10,12,11,11,8,9,109
14,13,12,11,11,7,9,9,9,7,7,342
12,10,10,12,12,11,11,11,11,7,7,268
8,17,13,13,13,11,14,14,13,6,6,172
14,15,11,12,13,11,11,11,12,6,6,189
14,15,14,12,12,8,12,12,10,8,8,986
8,11,10,12,12,9,13,10,11,6,6,861
16,12,12,13,13,11,12,12,12,6,6,625
10,9,9,11,11,11,12,7,9,6,6,926
14,14,9,12,13,14,12,10,11,6,6,944
9,14,13,10,10,6,13,13,9,7,7,515
13,14,12,14,14,12,11,11,13,8,8,375
12,13,13,11,11,6,9,9,11,6,6,738
16,14,10,11,11,14,9,9,10,9,9,575
11,12,11,17,17,12,15,11,14,6,6,639
10,14,14,17,17,11,15,15,16,6,6,168
14,12,10,10,10,10,14,14,10,6,6,737
10,11,11,12,12,10,13,12,11,6,6,518
10,16,14,12,13,12,14,12,12,6,6,151
8,16,10,11,11,6,NA,14,11,6,6,893
16,12,11,12,12,13,12,12,12,NA,NA,424
10,10,10,12,13,12,12,12,12,NA,NA,351
10,NA,17,12,12,10,NA,12,11,7,7,950
12,11,11,13,13,12,12,8,11,6,6,563
12,17,15,10,11,8,7,7,8,6,6,288
8,11,9,14,15,11,11,11,13,11,11,220
